Questions,Difficulty,Category
What is the difference between Search Head Pooling and Search Head Clustering?,2.0,AI
What are the significant components in the execution environment of Pig?,1.0,AI
What is the difference between agglomerative and divisive hierarchical clustering?,2.0,AI
How to determine the version of Java used by iReport designers in an environment?,2.0,AI
What is bidirectional cross-filtering in Power BI?,1.0,AI
Can we see the list of roles and associated IDs in OpenStack environment?,2.0,AI
What are the deployment environment options provided by Azure?,1.0,AI
"If you have an application running on the on-premise server and Azure East US region has a backup, will you be able to access the application via the Azure environment in case of an on-premise server application access failure?",,AI
You have an Azure subscription that contains 100 virtual machines. You have a set of Pester tests in PowerShell that validate the virtual machine environment. You need to run the tests whenever there is an operating system update on the virtual machines. The solution must minimize implementation time and recurring costs. Which three resources should you use to implement the tests?,1.0,AI
Which architecture is recommended for a scalable Jenkins environment?,1.0,AI
State the differences between variable names and environment variables,2.0,AI
What is logistic regression?,1.0,AI
Define Poison regression.,1.0,AI
What do you understand about linear regression?,1.0,AI
What do you understand by logistic regression?,1.0,AI
Explain the differences between supervised and unsupervised learning.,2.0,AI
What is pruning in a decision tree algorithm?,1.0,AI
What is entropy in a decision tree algorithm?,1.0,AI
What information is gained in a decision tree algorithm?,1.0,AI
What is Deep Learning?,1.0,AI
What is an RNN (recurrent neural network)?,1.0,AI
What do you understand by a decision tree?,1.0,AI
How are Data Science and Machine Learning related to each other?,2.0,AI
How can we select an appropriate value of k in k-means?,2.0,AI
How to calculate the accuracy of a binary classification algorithm using its confusion matrix?,2.0,AI
Explain how Machine Learning is different from Deep Learning.,2.0,AI
What does the word ‘Naive’ mean in Naive Bayes?,1.0,AI
"Implement simple linear regression in R on this ‘mtcars’ dataset, where the dependent variable is ‘mpg’ and the independent variable is ‘disp.’",1.0,AI
Implement simple linear regression in Python on this ‘Boston’ dataset where the dependent variable is ‘medv’ and the independent variable is ‘lstat.’,1.0,AI
Implement logistic regression on this ‘heart’ dataset in R where the dependent variable is ‘target’ and the independent variable is ‘age.’,1.0,AI
Build a logistic regression model on the ‘customer_churn’ dataset in Python. The dependent variable is ‘Churn’ and the independent variable is ‘MonthlyCharges.’ Find the log_loss of the model.,2.0,AI
"Build a decision tree model on ‘Iris’ dataset where the dependent variable is ‘Species,’ and all other columns are independent variables. Find the accuracy of the model built.",2.0,AI
Write code to calculate the accuracy of a binary classification algorithm using its confusion matrix.,,AI
Write a function that when called with a confusion matrix for a binary classification model returns a dictionary with its precision and recall.,1.0,AI
What are the assumptions required for linear regression?,1.0,AI
What happens when some of the assumptions required for linear regression are violated?,1.0,AI
How is it different from doing machine learning in R or SAS?,2.0,AI
Mention some machine learning algorithms exposed by Mahout?,1.0,AI
What is the difference between Strong Artificial Intelligence and Weak Artificial Intelligence?,2.0,AI
What is Artificial Intelligence?,1.0,AI
List some applications of AI.,1.0,AI
List the programming languages used in AI.,1.0,AI
What are the Examples of AI in real life?,1.0,AI
What is ANN?,1.0,AI
"Difference between AI, ML, and DL?",2.0,AI
What is Tower of Hanoi?,1.0,AI
What is Turing test?,1.0,AI
What is an expert system? What are the characteristics of an expert system?,1.0,AI
List the advantages of an expert system. ,1.0,AI
What is an A* algorithm search method? ,1.0,AI
What is a breadth-first search algorithm?,1.0,AI
What is a depth-first search algorithm?,1.0,AI
What is a bidirectional search algorithm?,1.0,AI
What is an iterative deepening depth-first search algorithm?,1.0,AI
