Questions,Difficulty,Category
Compare Robotic Process Automation with traditional automation.,2.0,OS
List the advantages of Robotic Process Automation.,1.0,OS
Mention the key difference between process automation and test automation?,2.0,OS
How would you go about enabling image and content-based process automation?,2.0,OS
What is the command used to check the running Splunk processes on Unix/Linux?,1.0,OS
What is Dispatch Directory?,1.0,OS
What is distributed cache? What are its benefits?,1.0,OS
What happens if you try to run a Hadoop job with an output directory that is already present?,1.0,OS
What file contains configuration for data directory?,1.0,OS
Explain job scheduling through JobTracker.,2.0,OS
What is the process of indexing in HDFS?,1.0,OS
How can we see only top 15 records from the student.txt out of 100 records in the HDFS directory?,2.0,OS
Explain the process to access subdirectories recursively in Hive queries.,2.0,OS
"Can we run UNIX shell commands from Hive? Can Hive queries be executed from script files? If yes, how? Give an example.",2.0,OS
Explain the saved job process in Sqoop.,2.0,OS
How to use logic from one transformation/job in other process?,2.0,OS
What is your daily work process in Tableau?,1.0,OS
Differentiate between standalone and embedded filter?,2.0,OS
How to run Turbo Integrator Process from Command Line?,2.0,OS
Name the function which is used to serialize the TI process?,1.0,OS
Describe the ETL process?,2.0,OS
What is the process for removing duplicates in DataStage?,1.0,OS
How do we compare the Validated OK with the Compiled Process in DataStage?,2.0,OS
How can we create indexes after completing the load process?,2.0,OS
Name the other tools used for scheduling purpose other than Workflow Manager and pmcmd.,1.0,OS
What is an ETL process?,1.0,OS
How many steps are there in an ETL process?,2.0,OS
What are the steps involved in an ETL process?,1.0,OS
What is the process of using user defined function in iReport?,1.0,OS
What is the process of documentation of iReport in Java?,1.0,OS
How can you access a restricted file system in Qlik Sense?,2.0,OS
Explain the process of creating an application in Qlik Sense.,2.0,OS
Explain the business analysis process flow.,2.0,OS
Differentiate between risk mitigation and risk avoidance.,2.0,OS
What is business process modeling?,1.0,OS
List the benefits of business process modeling.,1.0,OS
Which service offered by Amazon will you choose if you want to collect and process e-commerce data for near real-time analysis? (Choose any two)DynamoDBRedshiftAuroraSimpleDB,1.0,OS
"A company's web application is using multiple Linux Amazon EC2 instances and storing data on Amazon EBS volumes. The company is looking for a solution to increase the resiliency of the application in case of a failure and to provide storage that complies with atomicity, consistency, isolation, and durability (ACID). What should a solutions architect do to meet these requirements?",1.0,OS
"An organization has multiple facilities in various continents such as North America, Europe, and the Asia Pacific. The organization is designing a new distributed application to manage and optimize its global supply chain and its manufacturing process. It needs to design the process in such a way that the booked order in one continent should be able to support data failover with a short Recovery Time Objective (RTO). The uptime of the application should not impact manufacturing, what kind of solution would you recommend as a solution architect?",1.0,OS
What is the concept of sudo in Linux?,1.0,OS
What are the prerequisites to install Ansible 2.8 on Linux?,1.0,OS
What are the differences occurred in distributed operations?,1.0,OS
